AKITA,12.0
AOMORI,10.7
CHIBA,16.3
FUKUI,14.6
FUKUOKA,17.1
FUKUSHIMA,13.3
GIFU,16.1
HIKONE,14.9
HIROSHIMA,16.2
KAGOSHIMA,18.5
KANAZAWA,11.3
KOBE,16.7
KOCHI,17.0
KOFU,14.7
KUMAGAYA,15.3
KUMAMOTO,16.8
KYOTO,16.1
MAEBASHI,14.9
MATSUE,14.9
MATSUYAMA,16.4
MITO,14.2
MIYAZAKI,17.4
MORIOKA,10.6
NAGANO,11.9
NAGASAKI,17.0
NAGOYA,16.1
NAHA,23.1
NARA,14.9
NIIGATA,13.7
OITA,16.3
OKAYAMA,16.1
OSAKA,16.7
SAGA,16.7
SAPPORO,9.3
SENDAI,12.8
SHIZUOKA,16.6
TAKAMATSU,16.4
TOKUSHIMA,16.4
TOKYO,16.6
TOTTORI,14.9
TOYAMA,14.3
TSU,16.1
UTSUNOMIYA,14.2
WAKAYAMA,16.7
YAMAGATA,11.8
YAMAGUCHI,15.3
YOKOHAMA,13.0
