AKITA,12.5
AOMORI,11.0
CHIBA,16.8
FUKUI,15.6
FUKUOKA,18.1
FUKUSHIMA,14.2
GIFU,16.9
HIKONE,15.8
HIROSHIMA,17.2
KAGOSHIMA,19.6
KANAZAWA,12.2
KOBE,17.8
KOCHI,18.1
KOFU,15.7
KUMAGAYA,15.9
KUMAMOTO,18.0
KYOTO,17.1
MAEBASHI,15.6
MATSUE,15.9
MATSUYAMA,17.6
MITO,14.8
MIYAZAKI,18.6
MORIOKA,11.2
NAGANO,13.1
NAGASAKI,18.1
NAGOYA,17.0
NAHA,24.1
NARA,16.0
NIIGATA,14.5
OITA,17.6
OKAYAMA,16.6
OSAKA,17.7
SAGA,17.9
SAPPORO,9.3
SENDAI,13.5
SHIZUOKA,17.6
TAKAMATSU,17.5
TOKUSHIMA,17.6
TOKYO,16.4
TOTTORI,16.0
TOYAMA,15.2
TSU,16.9
UTSUNOMIYA,14.8
WAKAYAMA,17.7
YAMAGATA,12.7
YAMAGUCHI,16.5
YOKOHAMA,13.7
