AKITA,12.3
AOMORI,11.1
CHIBA,16.6
FUKUI,15.0
FUKUOKA,17.5
FUKUSHIMA,13.8
GIFU,16.4
HIKONE,15.3
HIROSHIMA,16.6
KAGOSHIMA,18.9
KANAZAWA,11.7
KOBE,17.2
KOCHI,17.6
KOFU,15.2
KUMAGAYA,15.8
KUMAMOTO,17.4
KYOTO,16.4
MAEBASHI,15.5
MATSUE,15.5
MATSUYAMA,16.9
MITO,14.5
MIYAZAKI,17.7
MORIOKA,11.0
NAGANO,12.6
NAGASAKI,17.5
NAGOYA,16.6
NAHA,23.1
NARA,15.4
NIIGATA,14.4
OITA,17.0
OKAYAMA,16.7
OSAKA,17.3
SAGA,17.0
SAPPORO,9.8
SENDAI,13.2
SHIZUOKA,17.2
TAKAMATSU,17.0
TOKUSHIMA,17.0
TOKYO,16.9
TOTTORI,15.6
TOYAMA,14.9
TSU,16.6
UTSUNOMIYA,14.8
WAKAYAMA,17.1
YAMAGATA,12.5
YAMAGUCHI,16.0
YOKOHAMA,13.3
