AKITA,12.1
AOMORI,10.5
CHIBA,15.9
FUKUI,14.6
FUKUOKA,17.0
FUKUSHIMA,13.2
GIFU,15.7
HIKONE,14.8
HIROSHIMA,16.2
KAGOSHIMA,18.2
KANAZAWA,11.4
KOBE,16.6
KOCHI,16.8
KOFU,14.8
KUMAGAYA,15.1
KUMAMOTO,16.7
KYOTO,15.8
MAEBASHI,14.7
MATSUE,15.1
MATSUYAMA,16.3
MITO,13.9
MIYAZAKI,17.2
MORIOKA,10.8
NAGANO,12.1
NAGASAKI,16.9
NAGOYA,15.8
NAHA,23.0
NARA,14.7
NIIGATA,13.8
OITA,16.3
OKAYAMA,16.1
OSAKA,16.6
SAGA,16.5
SAPPORO,9.3
SENDAI,12.6
SHIZUOKA,16.6
TAKAMATSU,16.3
TOKUSHIMA,16.4
TOKYO,16.3
TOTTORI,14.9
TOYAMA,14.2
TSU,15.9
UTSUNOMIYA,14.0
WAKAYAMA,16.4
YAMAGATA,11.8
YAMAGUCHI,15.4
YOKOHAMA,12.7
